,open,high,low,close,adjclose,volume,ticker
2022-07-01,19727.3046875,20521.091796875,19110.296875,19289.4296875,19289.4296875,30202839,BTCB-USD
2022-07-02,19289.953125,19372.265625,19074.421875,19290.06640625,19290.06640625,17442357,BTCB-USD
2022-07-03,19290.06640625,19535.861328125,18978.2890625,19301.05078125,19301.05078125,9752600,BTCB-USD
2022-07-04,19301.04296875,20250.921875,19069.123046875,20209.27734375,20209.27734375,13653117,BTCB-USD
2022-07-05,20208.443359375,20575.509765625,19373.96484375,20192.388671875,20192.388671875,15685736,BTCB-USD
2022-07-06,20193.447265625,20586.197265625,19872.099609375,20544.751953125,20544.751953125,19841325,BTCB-USD
2022-07-07,20544.751953125,21646.087890625,20317.935546875,21594.65625,21594.65625,18065618,BTCB-USD
2022-07-08,21597.36328125,22226.962890625,21285.03125,21764.56640625,21764.56640625,24526869,BTCB-USD
2022-07-09,21765.55859375,21867.822265625,21463.296875,21624.087890625,21624.087890625,15843544,BTCB-USD
2022-07-10,21623.529296875,21645.716796875,20770.765625,20876.97265625,20876.97265625,11028677,BTCB-USD
2022-07-11,20873.337890625,20879.50390625,19984.81640625,20009.337890625,20009.337890625,12596787,BTCB-USD
2022-07-12,20009.41015625,20010.04296875,19332.943359375,19349.83984375,19349.83984375,14194152,BTCB-USD
2022-07-13,19348.94140625,20204.228515625,19009.423828125,20183.025390625,20183.025390625,24670402,BTCB-USD
2022-07-14,20183.625,20767.80859375,19684.033203125,20584.251953125,20584.251953125,23351466,BTCB-USD
2022-07-15,20591.611328125,21120.478515625,20413.990234375,20840.896484375,20840.896484375,19503393,BTCB-USD
2022-07-16,20842.033203125,21486.7578125,20536.44921875,21202.13671875,21202.13671875,19215844,BTCB-USD
2022-07-17,21206.701171875,21555.23046875,20814.1640625,20815.158203125,20815.158203125,17015820,BTCB-USD
2022-07-18,20814.703125,22611.486328125,20814.703125,22350.7734375,22350.7734375,26770304,BTCB-USD
2022-07-19,22348.517578125,23650.814453125,21734.7734375,23346.533203125,23346.533203125,42877463,BTCB-USD
2022-07-20,23347.375,24179.4765625,23056.16796875,23299.9921875,23299.9921875,41863300,BTCB-USD
2022-07-21,23297.265625,23353.251953125,22487.3125,23146.490234375,23146.490234375,17920685,BTCB-USD
2022-07-22,23155.837890625,23610.177734375,22615.08984375,22716.435546875,22716.435546875,19866907,BTCB-USD
2022-07-23,22716.298828125,22938.6953125,22050.359375,22462.46875,22462.46875,15183517,BTCB-USD
2022-07-24,22462.439453125,22937.31640625,22352.017578125,22660.9609375,22660.9609375,15128412,BTCB-USD
2022-07-25,22659.29296875,22676.548828125,21394.64453125,21394.64453125,21394.64453125,17126752,BTCB-USD
2022-07-26,21394.962890625,21396.544921875,20792.78125,21233.48828125,21233.48828125,16041443,BTCB-USD
2022-07-27,21233.46484375,22898.724609375,21089.771484375,22896.939453125,22896.939453125,23415001,BTCB-USD
2022-07-28,22897.369140625,24043.388671875,22732.58984375,23874.064453125,23874.064453125,30362208,BTCB-USD
2022-07-29,23875.205078125,24230.419921875,23512.619140625,23835.58984375,23835.58984375,30933246,BTCB-USD
2022-07-30,23840.29296875,24593.6171875,23610.1171875,23657.755859375,23657.755859375,24049617,BTCB-USD
2022-07-31,23659.595703125,24101.7421875,23319.677734375,23399.615234375,23399.615234375,20074688,BTCB-USD
2022-08-01,23398.537109375,23484.177734375,22918.130859375,23297.947265625,23297.947265625,14723822,BTCB-USD
2022-08-02,23298.76953125,23390.072265625,22714.8046875,22988.748046875,22988.748046875,12047098,BTCB-USD
2022-08-03,22991.189453125,23534.771484375,22758.142578125,22843.33203125,22843.33203125,10322640,BTCB-USD
2022-08-04,22842.939453125,23172.35546875,22487.294921875,22620.78515625,22620.78515625,12632108,BTCB-USD
2022-08-05,22625.19921875,23415.103515625,22597.091796875,23255.529296875,23255.529296875,12310919,BTCB-USD
2022-08-06,23272.84765625,23321.953125,22985.29296875,22990.126953125,22990.126953125,5610482,BTCB-USD
2022-08-07,22989.162109375,23300.828125,22866.837890625,23176.123046875,23176.123046875,4992958,BTCB-USD
2022-08-08,23175.810546875,24209.69140625,23173.806640625,23821.44921875,23821.44921875,9034429,BTCB-USD
2022-08-09,23830.150390625,23891.779296875,22967.013671875,23178.087890625,23178.087890625,7761948,BTCB-USD
2022-08-10,23175.494140625,24133.513671875,22760.30859375,23929.130859375,23929.130859375,16687388,BTCB-USD
2022-08-11,23928.591796875,24802.06640625,23922.646484375,23976.7890625,23976.7890625,13917030,BTCB-USD
2022-08-12,23976.921875,24379.3359375,23675.298828125,24376.0546875,24376.0546875,7080594,BTCB-USD
2022-08-13,24376.4296875,24804.259765625,24357.138671875,24410.98046875,24410.98046875,6888882,BTCB-USD
2022-08-14,24411.189453125,24879.33203125,24241.89453125,24304.724609375,24304.724609375,6300883,BTCB-USD
2022-08-15,24305.197265625,25084.572265625,23888.13671875,24127.494140625,24127.494140625,9998113,BTCB-USD
2022-08-16,24124.376953125,24198.9375,23765.974609375,23882.830078125,23882.830078125,6697118,BTCB-USD
2022-08-17,23882.1484375,24390.4609375,23267.89453125,23326.86328125,23326.86328125,7047422,BTCB-USD
2022-08-18,23331.54296875,23567.28515625,23152.455078125,23222.2421875,23222.2421875,4546110,BTCB-USD
2022-08-19,23219.09765625,23219.09765625,20898.3046875,20902.404296875,20902.404296875,13856579,BTCB-USD
2022-08-20,20899.923828125,21344.845703125,20864.435546875,21153.01953125,21153.01953125,7139073,BTCB-USD
2022-08-21,21153.412109375,21695.794921875,21125.3203125,21561.177734375,21561.177734375,6657571,BTCB-USD
2022-08-22,21560.904296875,21560.904296875,20965.0078125,21323.0078125,21323.0078125,6757775,BTCB-USD
2022-08-23,21326.734375,21621.51171875,20976.19140625,21542.818359375,21542.818359375,5659478,BTCB-USD
2022-08-24,21544.1015625,21745.818359375,21217.923828125,21472.876953125,21472.876953125,4505499,BTCB-USD
2022-08-25,21468.41796875,21765.83984375,21427.697265625,21579.814453125,21579.814453125,4634941,BTCB-USD
2022-08-26,21576.515625,21757.173828125,20196.89453125,20244.28515625,20244.28515625,9931650,BTCB-USD
