,open,high,low,close,adjclose,volume,ticker
2022-07-01,7.054670810699463,7.204933166503906,6.5816497802734375,6.729926109313965,6.729926109313965,623803205,DOT-USD
2022-07-02,6.734045028686523,6.893189907073975,6.648608207702637,6.825884819030762,6.825884819030762,353342023,DOT-USD
2022-07-03,6.825024127960205,6.962991237640381,6.652778148651123,6.843846797943115,6.843846797943115,282225615,DOT-USD
2022-07-04,6.8446879386901855,7.194104194641113,6.683403968811035,7.173793792724609,7.173793792724609,414648616,DOT-USD
2022-07-05,7.168556213378906,7.19544792175293,6.655978202819824,6.8494181632995605,6.8494181632995605,617560339,DOT-USD
2022-07-06,6.8506951332092285,6.992520809173584,6.7275710105896,6.9299798011779785,6.9299798011779785,478051157,DOT-USD
2022-07-07,6.930163860321045,7.327588081359863,6.899003982543945,7.310357093811035,7.310357093811035,495849189,DOT-USD
2022-07-08,7.30925989151001,7.435816764831543,6.968067169189453,7.071249961853027,7.071249961853027,533020119,DOT-USD
2022-07-09,7.069156169891357,7.3535637855529785,7.060561180114746,7.261516094207764,7.261516094207764,397589950,DOT-USD
2022-07-10,7.261500835418701,7.261500835418701,6.785855770111084,6.858699798583984,6.858699798583984,418579710,DOT-USD
2022-07-11,6.857269763946533,6.891271114349365,6.527256011962891,6.536404132843018,6.536404132843018,334860344,DOT-USD
2022-07-12,6.53653621673584,6.614121913909912,6.2956318855285645,6.298569202423096,6.298569202423096,315259839,DOT-USD
2022-07-13,6.298768043518066,6.5059919357299805,6.094842910766602,6.469764232635498,6.469764232635498,390364728,DOT-USD
2022-07-14,6.469059944152832,6.746066093444824,6.306611061096191,6.718585968017578,6.718585968017578,336822812,DOT-USD
2022-07-15,6.7188029289245605,6.95396614074707,6.664506912231445,6.805499076843262,6.805499076843262,348479784,DOT-USD
2022-07-16,6.8047709465026855,7.193378925323486,6.5762481689453125,7.175996780395508,7.175996780395508,361139521,DOT-USD
2022-07-17,7.178064823150635,7.311770915985107,6.922561168670654,6.923593044281006,6.923593044281006,311165509,DOT-USD
2022-07-18,6.923659801483154,7.684226989746094,6.922579765319824,7.684226989746094,7.684226989746094,606829085,DOT-USD
2022-07-19,7.67716121673584,7.9912428855896,7.531222820281982,7.802577972412109,7.802577972412109,835371258,DOT-USD
2022-07-20,7.802506923675537,8.065683364868164,7.408067226409912,7.464480876922607,7.464480876922607,707185779,DOT-USD
2022-07-21,7.464845180511475,7.575039863586426,7.208769798278809,7.529248237609863,7.529248237609863,459368189,DOT-USD
2022-07-22,7.529307842254639,7.841454029083252,7.2806878089904785,7.309357166290283,7.309357166290283,494456039,DOT-USD
2022-07-23,7.3052978515625,7.4779791831970215,7.114515781402588,7.331504821777344,7.331504821777344,377301985,DOT-USD
2022-07-24,7.331384181976318,7.570953845977783,7.325013160705566,7.413887023925781,7.413887023925781,378461279,DOT-USD
2022-07-25,7.4137701988220215,7.425045967102051,6.766797065734863,6.769231796264648,6.769231796264648,436907555,DOT-USD
2022-07-26,6.770458221435547,6.773892879486084,6.54750394821167,6.766584873199463,6.766584873199463,405400043,DOT-USD
2022-07-27,6.769440174102783,7.666439056396484,6.662808895111084,7.666439056396484,7.666439056396484,604025366,DOT-USD
2022-07-28,7.662187099456787,8.03484058380127,7.509228229522705,7.861245155334473,7.861245155334473,888303918,DOT-USD
2022-07-29,7.858523845672607,8.403999328613281,7.787205219268799,8.185586929321289,8.185586929321289,836897631,DOT-USD
2022-07-30,8.188569068908691,8.78199577331543,8.181694030761719,8.208561897277832,8.208561897277832,826438675,DOT-USD
2022-07-31,8.209158897399902,9.187917709350586,8.114802360534668,8.645670890808105,8.645670890808105,980832901,DOT-USD
2022-08-01,8.645280838012695,8.942521095275879,8.077181816101074,8.194031715393066,8.194031715393066,652869187,DOT-USD
2022-08-02,8.194143295288086,8.253496170043945,7.704779148101807,7.938991069793701,7.938991069793701,620430497,DOT-USD
2022-08-03,7.938897132873535,8.40617847442627,7.71640682220459,8.00753116607666,8.00753116607666,505613974,DOT-USD
2022-08-04,8.006426811218262,8.256383895874023,7.907597064971924,8.089339256286621,8.089339256286621,403709111,DOT-USD
2022-08-05,8.086933135986328,8.814355850219727,8.079303741455078,8.813465118408203,8.813465118408203,517996242,DOT-USD
2022-08-06,8.812334060668945,8.859240531921387,8.50927734375,8.516014099121094,8.516014099121094,388196556,DOT-USD
2022-08-07,8.517563819885254,8.860275268554688,8.386148452758789,8.646408081054688,8.646408081054688,343345306,DOT-USD
2022-08-08,8.647198677062988,9.357250213623047,8.647024154663086,9.268288612365723,9.268288612365723,716347082,DOT-USD
2022-08-09,9.269521713256836,9.409797668457031,8.70015811920166,8.906953811645508,8.906953811645508,672012621,DOT-USD
2022-08-10,8.90680980682373,9.61666488647461,8.573481559753418,9.502070426940918,9.502070426940918,826401352,DOT-USD
2022-08-11,9.503616333007812,9.623738288879395,9.152724266052246,9.208972930908203,9.208972930908203,679395824,DOT-USD
2022-08-12,9.208537101745605,9.485034942626953,9.072096824645996,9.479537010192871,9.479537010192871,544819917,DOT-USD
2022-08-13,9.47883129119873,9.656562805175781,9.268205642700195,9.290427207946777,9.290427207946777,359798888,DOT-USD
2022-08-14,9.292052268981934,9.5442533493042,8.86711311340332,8.958501815795898,8.958501815795898,553281526,DOT-USD
2022-08-15,8.95942211151123,9.369622230529785,8.653827667236328,8.80242919921875,8.80242919921875,515446124,DOT-USD
2022-08-16,8.796706199645996,8.89738941192627,8.65876293182373,8.842569351196289,8.842569351196289,386335442,DOT-USD
2022-08-17,8.842143058776855,9.150632858276367,8.348932266235352,8.359841346740723,8.359841346740723,466651848,DOT-USD
2022-08-18,8.363876342773438,8.557719230651855,8.093748092651367,8.09457015991211,8.09457015991211,348830388,DOT-USD
2022-08-19,8.092451095581055,8.092451095581055,7.269280910491943,7.325466156005859,7.325466156005859,529309050,DOT-USD
2022-08-20,7.323882102966309,7.506272792816162,7.067327976226807,7.233099937438965,7.233099937438965,363061870,DOT-USD
2022-08-21,7.23126220703125,7.52101993560791,7.185116767883301,7.438866138458252,7.438866138458252,259531293,DOT-USD
2022-08-22,7.437511920928955,7.438793182373047,7.021999835968018,7.401978969573975,7.401978969573975,321523178,DOT-USD
2022-08-23,7.403388977050781,7.696846961975098,7.204673767089844,7.638373851776123,7.638373851776123,357178869,DOT-USD
2022-08-24,7.638256072998047,7.731334209442139,7.441400051116943,7.572387218475342,7.572387218475342,301128081,DOT-USD
2022-08-25,7.572805881500244,7.743137836456299,7.48659610748291,7.587152004241943,7.587152004241943,260711829,DOT-USD
2022-08-26,7.585890769958496,7.651368141174316,6.891870975494385,6.9239630699157715,6.9239630699157715,409439777,DOT-USD
