,open,high,low,close,adjclose,volume,ticker
2022-07-01,14.933160781860352,15.2938232421875,14.339530944824219,14.56043529510498,14.56043529510498,248651748,ETC-USD
2022-07-02,14.576522827148438,14.912227630615234,14.358436584472656,14.77175521850586,14.77175521850586,202055890,ETC-USD
2022-07-03,14.771245002746582,14.957058906555176,14.375602722167969,14.805073738098145,14.805073738098145,177074365,ETC-USD
2022-07-04,14.803762435913086,15.419361114501953,14.422140121459961,15.399097442626953,15.399097442626953,208315956,ETC-USD
2022-07-05,15.395438194274902,15.456393241882324,14.470735549926758,14.94730281829834,14.94730281829834,239578947,ETC-USD
2022-07-06,14.949835777282715,15.31301498413086,14.770587921142578,15.198587417602539,15.198587417602539,246973577,ETC-USD
2022-07-07,15.200139045715332,15.984328269958496,15.094189643859863,15.913339614868164,15.913339614868164,265628871,ETC-USD
2022-07-08,15.912457466125488,16.278470993041992,15.450827598571777,15.637689590454102,15.637689590454102,308264520,ETC-USD
2022-07-09,15.638065338134766,15.982001304626465,15.600566864013672,15.870729446411133,15.870729446411133,246533855,ETC-USD
2022-07-10,15.869935989379883,15.869935989379883,15.003976821899414,15.135857582092285,15.135857582092285,210235217,ETC-USD
2022-07-11,15.132654190063477,15.132654190063477,14.156505584716797,14.19442081451416,14.19442081451416,225517147,ETC-USD
2022-07-12,14.19653606414795,14.353880882263184,13.853880882263184,13.864527702331543,13.864527702331543,239001572,ETC-USD
2022-07-13,13.864485740661621,14.396218299865723,13.47899341583252,14.3944673538208,14.3944673538208,290420002,ETC-USD
2022-07-14,14.395218849182129,14.766918182373047,13.961956977844238,14.70003890991211,14.70003890991211,261830924,ETC-USD
2022-07-15,14.701820373535156,15.262709617614746,14.586851119995117,15.066509246826172,15.066509246826172,243757608,ETC-USD
2022-07-16,15.065372467041016,17.45075225830078,14.65898609161377,17.235464096069336,17.235464096069336,411998768,ETC-USD
2022-07-17,17.239070892333984,20.336265563964844,16.887033462524414,19.183923721313477,19.183923721313477,1175526482,ETC-USD
2022-07-18,19.195308685302734,25.44963264465332,19.195308685302734,25.419828414916992,25.419828414916992,1661377755,ETC-USD
2022-07-19,25.39553451538086,27.42116355895996,24.359804153442383,25.375337600708008,25.375337600708008,1907620185,ETC-USD
2022-07-20,25.359983444213867,25.63132667541504,23.215368270874023,23.279903411865234,23.279903411865234,1076747410,ETC-USD
2022-07-21,23.283803939819336,26.04175567626953,22.288122177124023,26.04175567626953,26.04175567626953,1067365719,ETC-USD
2022-07-22,26.035306930541992,26.790786743164062,24.28641128540039,24.960176467895508,24.960176467895508,1047442655,ETC-USD
2022-07-23,24.940372467041016,27.888248443603516,24.66140365600586,25.589021682739258,25.589021682739258,1329432871,ETC-USD
2022-07-24,25.5882568359375,26.543914794921875,25.384103775024414,25.603914260864258,25.603914260864258,864046594,ETC-USD
2022-07-25,25.58461570739746,25.71079444885254,23.388132095336914,23.391447067260742,23.391447067260742,875321733,ETC-USD
2022-07-26,23.393260955810547,25.036226272583008,23.172725677490234,25.036226272583008,25.036226272583008,942728012,ETC-USD
2022-07-27,25.03519058227539,32.95228576660156,24.98324966430664,32.721580505371094,32.721580505371094,4409691605,ETC-USD
2022-07-28,32.75916290283203,42.04515838623047,32.1229248046875,40.69428634643555,40.69428634643555,4392435456,ETC-USD
2022-07-29,40.6942024230957,44.96753692626953,37.86944580078125,40.60948944091797,40.60948944091797,4747356951,ETC-USD
2022-07-30,40.63983917236328,41.642547607421875,38.723392486572266,39.11208724975586,39.11208724975586,2283223844,ETC-USD
2022-07-31,39.1568603515625,41.348594665527344,36.35313415527344,36.453609466552734,36.453609466552734,1983357332,ETC-USD
2022-08-01,36.45844268798828,37.474143981933594,33.84706115722656,35.07881164550781,35.07881164550781,1621179906,ETC-USD
2022-08-02,35.079891204833984,38.54765319824219,32.35386276245117,36.56328201293945,36.56328201293945,2429206876,ETC-USD
2022-08-03,36.55900955200195,38.38007354736328,35.471168518066406,36.00599670410156,36.00599670410156,1550712524,ETC-USD
2022-08-04,36.00194549560547,36.98629379272461,34.29450607299805,34.805118560791016,34.805118560791016,1026930108,ETC-USD
2022-08-05,34.79606246948242,38.43585968017578,34.7375602722168,38.25874328613281,38.25874328613281,1404760475,ETC-USD
2022-08-06,38.26256561279297,39.30809783935547,37.415748596191406,37.843441009521484,37.843441009521484,1004207115,ETC-USD
2022-08-07,37.83806228637695,38.49116897583008,36.96055603027344,37.72114944458008,37.72114944458008,724741490,ETC-USD
2022-08-08,37.72456359863281,39.570003509521484,37.0194091796875,38.00337219238281,38.00337219238281,1195514823,ETC-USD
2022-08-09,38.009803771972656,38.169734954833984,35.74909210205078,36.420509338378906,36.420509338378906,884621887,ETC-USD
2022-08-10,36.417869567871094,39.29316711425781,36.312904357910156,38.726295471191406,38.726295471191406,1585151839,ETC-USD
2022-08-11,38.73557662963867,44.31108093261719,38.39193344116211,42.25538635253906,42.25538635253906,2550069903,ETC-USD
2022-08-12,42.24958801269531,43.625125885009766,41.29461669921875,43.443084716796875,43.443084716796875,1525317047,ETC-USD
2022-08-13,43.41011428833008,45.506099700927734,42.99125671386719,43.52581024169922,43.52581024169922,1337557002,ETC-USD
2022-08-14,43.530357360839844,44.17300796508789,40.777992248535156,41.58486557006836,41.58486557006836,1155300764,ETC-USD
2022-08-15,41.589210510253906,43.44779968261719,40.42313766479492,41.983280181884766,41.983280181884766,1112550146,ETC-USD
2022-08-16,41.97477722167969,42.200252532958984,39.6114501953125,39.93877029418945,39.93877029418945,855533055,ETC-USD
2022-08-17,39.93547439575195,42.32783508300781,38.97261047363281,40.195396423339844,40.195396423339844,1254980730,ETC-USD
2022-08-18,40.223793029785156,41.792694091796875,39.50444793701172,39.57548141479492,39.57548141479492,1110209025,ETC-USD
2022-08-19,39.57608413696289,39.5830078125,32.788543701171875,32.93836212158203,32.93836212158203,2100519390,ETC-USD
2022-08-20,32.93421936035156,34.504825592041016,31.53689193725586,32.85236740112305,32.85236740112305,1183124063,ETC-USD
2022-08-21,32.83755111694336,34.08689498901367,32.27970504760742,33.668453216552734,33.668453216552734,817838932,ETC-USD
2022-08-22,33.66474151611328,34.01027297973633,31.437955856323242,34.01027297973633,34.01027297973633,859089222,ETC-USD
2022-08-23,34.015045166015625,34.60621643066406,32.38239288330078,34.297916412353516,34.297916412353516,912497079,ETC-USD
2022-08-24,34.296329498291016,36.6295280456543,33.0362434387207,35.30918502807617,35.30918502807617,1125022262,ETC-USD
2022-08-25,35.31254577636719,37.97261428833008,35.31254577636719,37.13290023803711,37.13290023803711,1316217518,ETC-USD
2022-08-26,37.13237762451172,38.154541015625,33.677547454833984,33.88710403442383,33.88710403442383,1657422977,ETC-USD
