,open,high,low,close,adjclose,volume,ticker
2022-05-01,37722.01171875,38639.2109375,37552.296875,38491.921875,38491.921875,633958,HBTC-USD
2022-05-02,38491.359375,39045.66015625,38148.5,38511.48046875,38511.48046875,1301597,HBTC-USD
2022-05-03,38511.2734375,38936.54296875,37592.73828125,37749.421875,37749.421875,645944,HBTC-USD
2022-05-04,37748.1328125,39888.39453125,37747.296875,39743.4921875,39743.4921875,1673181,HBTC-USD
2022-05-05,39743.3984375,39745.36328125,35683.3125,36476.734375,36476.734375,2519876,HBTC-USD
2022-05-06,36476.72265625,36588.2421875,35386.90234375,35994.58984375,35994.58984375,2520037,HBTC-USD
2022-05-07,35994.19921875,36107.76953125,34918.89453125,35578.140625,35578.140625,394922,HBTC-USD
2022-05-08,35578.02734375,35799.9375,33905.0234375,34037.87890625,34037.87890625,394940,HBTC-USD
2022-05-09,34038.9453125,34217.02734375,30244.474609375,30279.078125,30279.078125,3707914,HBTC-USD
2022-05-10,30279.42578125,32538.064453125,29850.56640625,30943.21875,30943.21875,3736525,HBTC-USD
2022-05-11,30943.01171875,32011.05078125,28084.896484375,28882.98828125,28882.98828125,3742222,HBTC-USD
2022-05-12,28883.431640625,30029.380859375,25053.73828125,28838.578125,28838.578125,8372384,HBTC-USD
2022-05-13,28835.568359375,30882.9609375,28774.52734375,29251.638671875,29251.638671875,2220426,HBTC-USD
2022-05-14,29251.8203125,30216.990234375,28666.76953125,30074.525390625,30074.525390625,1091285,HBTC-USD
2022-05-15,30074.560546875,31334.640625,29531.6640625,31240.5390625,31240.5390625,862731,HBTC-USD
2022-05-16,31241.19140625,31241.611328125,29216.51953125,29880.45703125,29880.45703125,1201396,HBTC-USD
2022-05-17,29880.349609375,30656.22265625,29570.9453125,30436.6953125,30436.6953125,837329,HBTC-USD
2022-05-18,30436.515625,30667.693359375,28744.390625,28748.044921875,28748.044921875,725241,HBTC-USD
2022-05-19,28747.4375,30424.822265625,28693.974609375,30298.08203125,30298.08203125,725486,HBTC-USD
2022-05-20,30297.4765625,30650.7109375,28799.55859375,29272.203125,29272.203125,675805,HBTC-USD
2022-05-21,29274.30078125,29539.59765625,29001.474609375,29329.705078125,29329.705078125,284513,HBTC-USD
2022-05-22,29329.568359375,30489.626953125,29134.228515625,30373.7734375,30373.7734375,289231,HBTC-USD
2022-05-23,30373.638671875,30580.70703125,28933.912109375,29037.705078125,29037.705078125,665889,HBTC-USD
2022-05-24,29036.58203125,29769.216796875,28745.880859375,29693.544921875,29693.544921875,595561,HBTC-USD
2022-05-25,29692.52734375,30185.748046875,29124.44921875,29591.880859375,29591.880859375,898016,HBTC-USD
2022-05-26,29591.76171875,29778.783203125,28249.453125,29316.91015625,29316.91015625,761086,HBTC-USD
2022-05-27,29314.11328125,29324.84765625,28147.35546875,28590.517578125,28590.517578125,621579,HBTC-USD
2022-05-28,28767.583984375,29151.58984375,28583.919921875,29010.103515625,29010.103515625,193262,HBTC-USD
2022-05-29,29009.55078125,29479.890625,28854.91015625,29465.3125,29465.3125,158404,HBTC-USD
2022-05-30,29465.212890625,32028.46484375,29225.86328125,31765.134765625,31765.134765625,158426,HBTC-USD
2022-05-31,31765.298828125,32321.689453125,31291.01171875,31797.6875,31797.6875,458129,HBTC-USD
2022-06-01,31796.21484375,31919.220703125,29398.44140625,29845.890625,29845.890625,621092,HBTC-USD
2022-06-02,29844.0546875,30583.244140625,29621.04296875,30506.55859375,30506.55859375,764508,HBTC-USD
2022-06-03,30505.90625,30582.73046875,29362.50390625,29711.09375,29711.09375,599197,HBTC-USD
2022-06-04,29711.33203125,29863.830078125,29499.16015625,29849.93359375,29849.93359375,124460,HBTC-USD
2022-06-05,29850.20703125,30089.3671875,29580.748046875,29857.791015625,29857.791015625,162951,HBTC-USD
2022-06-06,29857.93359375,31636.029296875,29852.9921875,31398.6796875,31398.6796875,391125,HBTC-USD
2022-06-07,31398.423828125,31458.984375,29290.1953125,31237.267578125,31237.267578125,1051256,HBTC-USD
2022-06-08,31237.373046875,31237.373046875,29903.21484375,30257.857421875,30257.857421875,665911,HBTC-USD
2022-06-09,30258.1484375,30578.470703125,30000.884765625,30072.732421875,30072.732421875,256434,HBTC-USD
2022-06-10,30075.623046875,30369.837890625,28940.3671875,29109.3828125,29109.3828125,654293,HBTC-USD
2022-06-11,29109.740234375,29340.912109375,28179.8671875,28329.109375,28329.109375,623711,HBTC-USD
2022-06-12,28330.974609375,28448.01953125,26707.443359375,26748.01171875,26748.01171875,921101,HBTC-USD
