,open,high,low,close,adjclose,volume,ticker
2022-05-01,1.7032099962234497,1.8213499784469604,1.6646840572357178,1.7880430221557617,1.7880430221557617,46673171,MINA-USD
2022-05-02,1.7882100343704224,1.9195189476013184,1.7248859405517578,1.8160710334777832,1.8160710334777832,53978886,MINA-USD
2022-05-03,1.8157709836959839,1.9206839799880981,1.7427289485931396,1.7683509588241577,1.7683509588241577,32521546,MINA-USD
2022-05-04,1.7681339979171753,2.0285420417785645,1.7679970264434814,2.0160739421844482,2.0160739421844482,72830371,MINA-USD
2022-05-05,2.0157930850982666,2.1140129566192627,1.7309620380401611,1.79072904586792,1.79072904586792,58064949,MINA-USD
2022-05-06,1.7907580137252808,1.89329195022583,1.7277339696884155,1.8349119424819946,1.8349119424819946,48957071,MINA-USD
2022-05-07,1.8348009586334229,1.8431220054626465,1.6638679504394531,1.727444052696228,1.727444052696228,36157911,MINA-USD
2022-05-08,1.7266160249710083,1.728469967842102,1.6066609621047974,1.6441919803619385,1.6441919803619385,38418013,MINA-USD
2022-05-09,1.6438759565353394,1.6605010032653809,1.3618719577789307,1.3618719577789307,1.3618719577789307,49287969,MINA-USD
2022-05-10,1.360558032989502,1.6145039796829224,1.3413939476013184,1.4361720085144043,1.4361720085144043,62077446,MINA-USD
2022-05-11,1.436068058013916,1.4719010591506958,0.9350879788398743,0.9912170171737671,0.9912170171737671,74429249,MINA-USD
2022-05-12,0.9910749793052673,1.130545973777771,0.8221740126609802,0.9516900181770325,0.9516900181770325,67910193,MINA-USD
2022-05-13,0.9510089755058289,1.2116270065307617,0.9433490037918091,1.046995997428894,1.046995997428894,56228595,MINA-USD
2022-05-14,1.047579050064087,1.1001379489898682,0.9403370022773743,1.090790033340454,1.090790033340454,38213245,MINA-USD
2022-05-15,1.0906269550323486,1.159669041633606,1.030689001083374,1.1592769622802734,1.1592769622802734,38815013,MINA-USD
2022-05-16,1.159134030342102,1.159134030342102,1.0156370401382446,1.0469969511032104,1.0469969511032104,34879250,MINA-USD
2022-05-17,1.047394037246704,1.1231379508972168,1.0450359582901,1.1029950380325317,1.1029950380325317,30029212,MINA-USD
2022-05-18,1.1029390096664429,1.130221962928772,0.9866350293159485,0.9866350293159485,0.9866350293159485,29332212,MINA-USD
2022-05-19,0.9863460063934326,1.059108018875122,0.9482759833335876,1.0460540056228638,1.0460540056228638,33586379,MINA-USD
2022-05-20,1.04489004611969,1.072253942489624,0.9652169942855835,0.9915750026702881,0.9915750026702881,29526433,MINA-USD
2022-05-21,0.9909489750862122,1.0377470254898071,0.9745579957962036,1.0125819444656372,1.0125819444656372,23088167,MINA-USD
2022-05-22,1.0123939514160156,1.045706033706665,0.9931579828262329,1.023074984550476,1.023074984550476,28416527,MINA-USD
2022-05-23,1.021446943283081,1.0676350593566895,0.9855690002441406,0.9855690002441406,0.9855690002441406,40254046,MINA-USD
2022-05-24,0.9852079749107361,1.084736943244934,0.9555469751358032,1.0198500156402588,1.0198500156402588,38158957,MINA-USD
2022-05-25,1.0198620557785034,1.0311870574951172,0.9765070080757141,0.9792749881744385,0.9792749881744385,26888489,MINA-USD
2022-05-26,0.97952800989151,0.9930089712142944,0.8505499958992004,0.8596479892730713,0.8596479892730713,42071904,MINA-USD
2022-05-27,0.8594719767570496,0.8708490133285522,0.8102220296859741,0.811493992805481,0.811493992805481,26671542,MINA-USD
2022-05-28,0.830810010433197,0.8520159721374512,0.8093259930610657,0.84368497133255,0.84368497133255,15724550,MINA-USD
2022-05-29,0.8437889814376831,0.8932250142097473,0.8164650201797485,0.8897479772567749,0.8897479772567749,19556366,MINA-USD
2022-05-30,0.889739990234375,0.9914389848709106,0.8790010213851929,0.9846720099449158,0.9846720099449158,35154290,MINA-USD
2022-05-31,0.9848129749298096,0.9985610246658325,0.9323049783706665,0.9596760272979736,0.9596760272979736,30950803,MINA-USD
2022-06-01,0.9595879912376404,0.9663439989089966,0.8567860126495361,0.8694390058517456,0.8694390058517456,28315760,MINA-USD
2022-06-02,0.8689470291137695,0.886942982673645,0.8402889966964722,0.8767610192298889,0.8767610192298889,21263817,MINA-USD
2022-06-03,0.8766819834709167,0.8766819834709167,0.8198320269584656,0.8477540016174316,0.8477540016174316,23553559,MINA-USD
2022-06-04,0.8477870225906372,0.8512970209121704,0.822638988494873,0.8445929884910583,0.8445929884910583,14194099,MINA-USD
2022-06-05,0.8445789813995361,0.8588219881057739,0.8276020288467407,0.8390740156173706,0.8390740156173706,14137824,MINA-USD
2022-06-06,0.8390730023384094,0.9214379787445068,0.8387500047683716,0.8734170198440552,0.8734170198440552,26132348,MINA-USD
2022-06-07,0.8707600235939026,0.8874149918556213,0.8177379965782166,0.85869300365448,0.85869300365448,43212144,MINA-USD
2022-06-08,0.8585839867591858,0.8726000189781189,0.8298010230064392,0.8389149904251099,0.8389149904251099,25773869,MINA-USD
2022-06-09,0.8391000032424927,0.8639529943466187,0.8242210149765015,0.8281720280647278,0.8281720280647278,19965608,MINA-USD
2022-06-10,0.8279839754104614,0.8478569984436035,0.7642620205879211,0.7650060057640076,0.7650060057640076,24242865,MINA-USD
2022-06-11,0.7653239965438843,0.8078070282936096,0.7019249796867371,0.7192509770393372,0.7192509770393372,45104136,MINA-USD
2022-06-12,0.719344973564148,0.7242500185966492,0.6298329830169678,0.6337460279464722,0.6337460279464722,35355164,MINA-USD
2022-06-13,0.6334750056266785,0.6667330265045166,0.5645139813423157,0.6540930271148682,0.6540930271148682,48770448,MINA-USD
2022-06-14,0.6559180021286011,0.6891850233078003,0.6034749746322632,0.6576709747314453,0.6576709747314453,39404558,MINA-USD
2022-06-15,0.657666027545929,0.6974189877510071,0.5903679728507996,0.6940370202064514,0.6940370202064514,34275273,MINA-USD
2022-06-16,0.6937900185585022,0.6978570222854614,0.5904970169067383,0.5963619947433472,0.5963619947433472,28953869,MINA-USD
2022-06-17,0.5966669917106628,0.6270949840545654,0.593966007232666,0.608493983745575,0.608493983745575,18929390,MINA-USD
2022-06-18,0.6080099940299988,0.6158890128135681,0.5495179891586304,0.5786899924278259,0.5786899924278259,21931521,MINA-USD
2022-06-19,0.5785470008850098,0.6302080154418945,0.5514219999313354,0.6256759762763977,0.6256759762763977,25421750,MINA-USD
2022-06-20,0.6256880164146423,0.6415029764175415,0.6032170057296753,0.6256139874458313,0.6256139874458313,23064058,MINA-USD
2022-06-21,0.6257209777832031,0.6782490015029907,0.6187649965286255,0.6398100256919861,0.6398100256919861,25603177,MINA-USD
2022-06-22,0.6400390267372131,0.6417840123176575,0.6048359870910645,0.608430027961731,0.608430027961731,19792438,MINA-USD
2022-06-23,0.6085119843482971,0.6472169756889343,0.6077690124511719,0.6441429853439331,0.6441429853439331,18199870,MINA-USD
2022-06-24,0.6441100239753723,0.6794520020484924,0.6268619894981384,0.6719759702682495,0.6719759702682495,29853147,MINA-USD
2022-06-25,0.672016978263855,0.795274019241333,0.6644489765167236,0.7435569763183594,0.7435569763183594,61918330,MINA-USD
2022-06-26,0.7431309819221497,0.7440260052680969,0.6766039729118347,0.6767709851264954,0.6767709851264954,24096075,MINA-USD
2022-06-27,0.6766510009765625,0.7180860042572021,0.6700249910354614,0.6878079771995544,0.6878079771995544,21491162,MINA-USD
2022-06-28,0.6875810027122498,0.706741988658905,0.6509339809417725,0.6550340056419373,0.6550340056419373,19622898,MINA-USD
2022-06-29,0.6546090245246887,0.6644269824028015,0.6181349754333496,0.6243190169334412,0.6243190169334412,23925451,MINA-USD
2022-06-30,0.6246839761734009,0.6280320286750793,0.579371988773346,0.6095989942550659,0.6095989942550659,20057070,MINA-USD
2022-07-01,0.6102340221405029,0.6359580159187317,0.5996909737586975,0.6060960292816162,0.6060960292816162,18171421,MINA-USD
2022-07-02,0.6071230173110962,0.6267369985580444,0.6014559864997864,0.6217920184135437,0.6217920184135437,12555924,MINA-USD
2022-07-03,0.6218630075454712,0.6238290071487427,0.6068940162658691,0.6188610196113586,0.6188610196113586,14892568,MINA-USD
2022-07-04,0.6189519762992859,0.6542230248451233,0.6092770099639893,0.6504189968109131,0.6504189968109131,15362945,MINA-USD
2022-07-05,0.6501320004463196,0.6740620136260986,0.6234819889068604,0.6513929963111877,0.6513929963111877,25467483,MINA-USD
2022-07-06,0.651593029499054,0.6958479881286621,0.6408309936523438,0.6710420250892639,0.6710420250892639,25498370,MINA-USD
2022-07-07,0.671172022819519,0.7322139739990234,0.6707640290260315,0.7088509798049927,0.7088509798049927,28615946,MINA-USD
2022-07-08,0.7088689804077148,0.7225779891014099,0.6710489988327026,0.684162974357605,0.684162974357605,24195981,MINA-USD
2022-07-09,0.6838930249214172,0.7051159739494324,0.6776869893074036,0.6975910067558289,0.6975910067558289,17679774,MINA-USD
2022-07-10,0.6975250244140625,0.6975250244140625,0.6576319932937622,0.6715329885482788,0.6715329885482788,14438755,MINA-USD
2022-07-11,0.6715580224990845,0.7039880156517029,0.6420180201530457,0.645035982131958,0.645035982131958,23825570,MINA-USD
2022-07-12,0.6449069976806641,0.6755480170249939,0.6316369771957397,0.6317369937896729,0.6317369937896729,27122044,MINA-USD
2022-07-13,0.6317239999771118,0.6588240265846252,0.6052780151367188,0.6563090085983276,0.6563090085983276,17398532,MINA-USD
2022-07-14,0.6563540101051331,0.6707810163497925,0.6329489946365356,0.6681810021400452,0.6681810021400452,17377841,MINA-USD
2022-07-15,0.6684449911117554,0.6853780150413513,0.6605479717254639,0.6679049730300903,0.6679049730300903,16716660,MINA-USD
2022-07-16,0.6679220199584961,0.6953200101852417,0.6518099904060364,0.6863719820976257,0.6863719820976257,15726162,MINA-USD
2022-07-17,0.6863530278205872,0.692330002784729,0.6688429713249207,0.6708750128746033,0.6708750128746033,16381912,MINA-USD
2022-07-18,0.6708120107650757,0.7286490201950073,0.6707789897918701,0.7204409837722778,0.7204409837722778,26494120,MINA-USD
2022-07-19,0.7197880148887634,0.8520820140838623,0.6990010142326355,0.7884590029716492,0.7884590029716492,49248035,MINA-USD
2022-07-20,0.7885519862174988,0.8273900151252747,0.7275469899177551,0.7308989763259888,0.7308989763259888,31264498,MINA-USD
2022-07-21,0.7307900190353394,0.759460985660553,0.6964899897575378,0.7350969910621643,0.7350969910621643,24397515,MINA-USD
2022-07-22,0.735040009021759,0.784184992313385,0.7208449840545654,0.722046971321106,0.722046971321106,23536031,MINA-USD
2022-07-23,0.7216910123825073,0.7604230046272278,0.7164549827575684,0.7338849902153015,0.7338849902153015,22529336,MINA-USD
2022-07-24,0.7339000105857849,0.7739980220794678,0.7298319935798645,0.7463629841804504,0.7463629841804504,22591613,MINA-USD
2022-07-25,0.7465670108795166,0.7477629780769348,0.6630499958992004,0.6631270051002502,0.6631270051002502,24198384,MINA-USD
2022-07-26,0.6663860082626343,0.6724169850349426,0.6322000026702881,0.6613600254058838,0.6613600254058838,15734121,MINA-USD
2022-07-27,0.6619459986686707,0.720678985118866,0.6468219757080078,0.720678985118866,0.720678985118866,21712461,MINA-USD
2022-07-28,0.7207499742507935,0.7712709903717041,0.713998019695282,0.7556759715080261,0.7556759715080261,25111330,MINA-USD
2022-07-29,0.7556040287017822,0.7909299731254578,0.73540198802948,0.7601950168609619,0.7601950168609619,23415591,MINA-USD
2022-07-30,0.7599530220031738,0.8549969792366028,0.7596989870071411,0.7914069890975952,0.7914069890975952,34019727,MINA-USD
2022-07-31,0.7916520237922668,0.8271210193634033,0.7693629860877991,0.7741280198097229,0.7741280198097229,23248527,MINA-USD
2022-08-01,0.7738980054855347,0.7976930141448975,0.7496259808540344,0.7928889989852905,0.7928889989852905,22657492,MINA-USD
2022-08-02,0.7928360104560852,0.7973250150680542,0.7422659993171692,0.7758560180664062,0.7758560180664062,23602659,MINA-USD
2022-08-03,0.7761859893798828,0.8233780264854431,0.7539290189743042,0.7914400100708008,0.7914400100708008,24583112,MINA-USD
2022-08-04,0.7912279963493347,0.8134469985961914,0.7747629880905151,0.7832459807395935,0.7832459807395935,22656387,MINA-USD
2022-08-05,0.7829139828681946,0.8750399947166443,0.7812770009040833,0.8487730026245117,0.8487730026245117,30192690,MINA-USD
2022-08-06,0.8491079807281494,0.8872119784355164,0.8340489864349365,0.8382009863853455,0.8382009863853455,29246972,MINA-USD
2022-08-07,0.8382149934768677,0.8599600195884705,0.8204190135002136,0.8574659824371338,0.8574659824371338,19732300,MINA-USD
2022-08-08,0.856777012348175,0.924793004989624,0.8517150282859802,0.8963220119476318,0.8963220119476318,35031409,MINA-USD
2022-08-09,0.8969079852104187,0.9787830114364624,0.8836479783058167,0.956475019454956,0.956475019454956,82757933,MINA-USD
2022-08-10,0.9567450284957886,0.9845820069313049,0.8974220156669617,0.974390983581543,0.974390983581543,46783791,MINA-USD
2022-08-11,0.974327027797699,0.9751459956169128,0.9232990145683289,0.9299330115318298,0.9299330115318298,29961156,MINA-USD
2022-08-12,0.9299039840698242,0.9380069971084595,0.9055629968643188,0.9358900189399719,0.9358900189399719,20865725,MINA-USD
2022-08-13,0.9358159899711609,0.9514700174331665,0.9176779985427856,0.9186689853668213,0.9186689853668213,18869345,MINA-USD
2022-08-14,0.9187600016593933,0.9392650127410889,0.8862689733505249,0.8903470039367676,0.8903470039367676,19291636,MINA-USD
2022-08-15,0.8902480006217957,0.9147650003433228,0.8352469801902771,0.8577979803085327,0.8577979803085327,29959837,MINA-USD
2022-08-16,0.8571919798851013,0.8709380030632019,0.8345990180969238,0.8398140072822571,0.8398140072822571,18382547,MINA-USD
2022-08-17,0.8393970131874084,0.8669729828834534,0.7624750137329102,0.7767069935798645,0.7767069935798645,26125164,MINA-USD
2022-08-18,0.7772669792175293,0.7933549880981445,0.7417050004005432,0.7431570291519165,0.7431570291519165,16706758,MINA-USD
2022-08-19,0.7429329752922058,0.7429329752922058,0.6816319823265076,0.7090759873390198,0.7090759873390198,26489293,MINA-USD
2022-08-20,0.7090979814529419,0.7547309994697571,0.6886759996414185,0.7089539766311646,0.7089539766311646,20993264,MINA-USD
2022-08-21,0.709106981754303,0.7449939846992493,0.7090619802474976,0.7275800108909607,0.7275800108909607,14305185,MINA-USD
2022-08-22,0.7272850275039673,0.7296519875526428,0.6867619752883911,0.7228180170059204,0.7228180170059204,15351846,MINA-USD
