,open,high,low,close,adjclose,volume,ticker
2022-05-01,2720.637939453125,2839.095947265625,2715.516845703125,2828.919921875,2828.919921875,497275,STETH-USD
2022-05-02,2828.922607421875,2862.941650390625,2764.857666015625,2851.124755859375,2851.124755859375,775924,STETH-USD
2022-05-03,2851.35498046875,2853.268798828125,2747.480712890625,2773.48779296875,2773.48779296875,678136,STETH-USD
2022-05-04,2773.46533203125,2952.3349609375,2771.975830078125,2913.2177734375,2913.2177734375,712462,STETH-USD
2022-05-05,2913.202392578125,2938.60791015625,2697.744873046875,2730.36376953125,2730.36376953125,280330,STETH-USD
2022-05-06,2730.377685546875,2768.33544921875,2631.228515625,2687.427490234375,2687.427490234375,921228,STETH-USD
2022-05-07,2687.234375,2689.976806640625,2585.107666015625,2625.694091796875,2625.694091796875,232064,STETH-USD
2022-05-08,2625.747314453125,2626.191650390625,2476.59130859375,2497.317626953125,2497.317626953125,672916,STETH-USD
2022-05-09,2497.50732421875,2503.832763671875,2212.268310546875,2228.75439453125,2228.75439453125,1527322,STETH-USD
2022-05-10,2224.137451171875,2424.285888671875,2191.582763671875,2322.286865234375,2322.286865234375,1133705,STETH-USD
2022-05-11,2322.31689453125,2424.396240234375,2004.159423828125,2065.02294921875,2065.02294921875,4331414,STETH-USD
2022-05-12,2066.537109375,2151.451904296875,1696.1072998046875,1911.8447265625,1911.8447265625,5588714,STETH-USD
2022-05-13,1910.8828125,2075.9169921875,1893.5714111328125,1950.679931640625,1950.679931640625,7208684,STETH-USD
2022-05-14,1953.415283203125,2016.5504150390625,1913.175048828125,2016.4405517578125,2016.4405517578125,2690794,STETH-USD
2022-05-15,2015.3330078125,2121.84375,1956.7657470703125,2111.29638671875,2111.29638671875,1641472,STETH-USD
2022-05-16,2111.527587890625,2111.527587890625,1952.67236328125,1985.292236328125,1985.292236328125,3459829,STETH-USD
2022-05-17,1982.81201171875,2072.043212890625,1976.05859375,2031.4000244140625,2031.4000244140625,1485618,STETH-USD
2022-05-18,2031.4007568359375,2047.3358154296875,1878.455078125,1879.1427001953125,1879.1427001953125,1256450,STETH-USD
2022-05-19,1877.7755126953125,1994.832275390625,1873.5767822265625,1989.5418701171875,1989.5418701171875,2680288,STETH-USD
2022-05-20,1989.503662109375,2017.89404296875,1893.260009765625,1932.6578369140625,1932.6578369140625,1878081,STETH-USD
2022-05-21,1932.429931640625,1948.336181640625,1905.703369140625,1925.22412109375,1925.22412109375,677567,STETH-USD
2022-05-22,1925.2274169921875,1995.082763671875,1911.5384521484375,1994.964599609375,1994.964599609375,1108431,STETH-USD
2022-05-23,1994.9647216796875,2030.3358154296875,1924.104736328125,1929.0291748046875,1929.0291748046875,744777,STETH-USD
2022-05-24,1928.9149169921875,1946.4019775390625,1876.037841796875,1930.146728515625,1930.146728515625,859034,STETH-USD
2022-05-25,1930.1466064453125,1972.097412109375,1892.9312744140625,1898.4359130859375,1898.4359130859375,714305,STETH-USD
2022-05-26,1898.43603515625,1918.562744140625,1708.0653076171875,1761.2691650390625,1761.2691650390625,1434877,STETH-USD
2022-05-27,1760.091796875,1769.3687744140625,1671.0439453125,1674.001708984375,1674.001708984375,1664202,STETH-USD
2022-05-28,1717.51220703125,1757.92138671875,1674.6031494140625,1754.226806640625,1754.226806640625,912879,STETH-USD
2022-05-29,1754.2296142578125,1777.78857421875,1723.81787109375,1769.7288818359375,1769.7288818359375,2312392,STETH-USD
2022-05-30,1769.6998291015625,1963.8851318359375,1756.86083984375,1954.132080078125,1954.132080078125,776173,STETH-USD
2022-05-31,1954.1710205078125,1960.8648681640625,1888.8455810546875,1901.566650390625,1901.566650390625,684642,STETH-USD
2022-06-01,1901.813232421875,1924.2020263671875,1736.59619140625,1784.909912109375,1784.909912109375,645595,STETH-USD
2022-06-02,1784.6748046875,1801.4136962890625,1751.5765380859375,1792.1787109375,1792.1787109375,575764,STETH-USD
2022-06-03,1792.3946533203125,1795.5809326171875,1702.369384765625,1735.8084716796875,1735.8084716796875,702573,STETH-USD
2022-06-04,1735.78857421875,1770.736083984375,1711.1396484375,1760.19775390625,1760.19775390625,176132,STETH-USD
2022-06-05,1760.2550048828125,1777.9461669921875,1738.7288818359375,1766.1185302734375,1766.1185302734375,370740,STETH-USD
2022-06-06,1766.2386474609375,1866.5240478515625,1764.099853515625,1813.786376953125,1813.786376953125,848898,STETH-USD
2022-06-07,1813.913330078125,1816.3138427734375,1681.8704833984375,1774.346923828125,1774.346923828125,1175565,STETH-USD
2022-06-08,1774.3675537109375,1787.7603759765625,1729.25048828125,1743.5789794921875,1743.5789794921875,1786201,STETH-USD
2022-06-09,1743.4337158203125,1776.37255859375,1730.0440673828125,1733.3184814453125,1733.3184814453125,11789040,STETH-USD
2022-06-10,1733.31787109375,1746.1634521484375,1567.7191162109375,1574.4781494140625,1574.4781494140625,7970368,STETH-USD
2022-06-11,1574.4786376953125,1597.4793701171875,1441.7662353515625,1470.4757080078125,1470.4757080078125,6957730,STETH-USD
2022-06-12,1470.82177734375,1479.074951171875,1378.107177734375,1391.47021484375,1391.47021484375,9928512,STETH-USD
2022-06-13,1390.6905517578125,1393.5919189453125,1099.630859375,1151.9013671875,1151.9013671875,12229567,STETH-USD
2022-06-14,1152.08251953125,1187.3636474609375,1032.5050048828125,1151.9921875,1151.9921875,6269785,STETH-USD
2022-06-15,1151.9884033203125,1162.2095947265625,959.7634887695312,1155.190185546875,1155.190185546875,7480099,STETH-USD
2022-06-16,1155.845947265625,1171.951416015625,995.4224853515625,1006.15234375,1006.15234375,5813939,STETH-USD
2022-06-17,1005.9472045898438,1042.9345703125,984.610595703125,1023.4297485351562,1023.4297485351562,3418782,STETH-USD
2022-06-18,1023.4290771484375,1027.4737548828125,828.6690673828125,931.3876953125,931.3876953125,6295063,STETH-USD
2022-06-19,931.385009765625,1079.3984375,881.74169921875,1056.4874267578125,1056.4874267578125,2948479,STETH-USD
2022-06-20,1056.48388671875,1093.1829833984375,994.7965698242188,1065.31689453125,1065.31689453125,2171190,STETH-USD
2022-06-21,1064.488037109375,1122.0888671875,1045.8133544921875,1062.247314453125,1062.247314453125,2153402,STETH-USD
2022-06-22,1062.4727783203125,1063.7169189453125,990.0042724609375,995.9393920898438,995.9393920898438,2533742,STETH-USD
2022-06-23,996.8389892578125,1095.2587890625,996.1878662109375,1090.6710205078125,1090.6710205078125,2142381,STETH-USD
2022-06-24,1090.2554931640625,1193.3265380859375,1088.5211181640625,1177.9437255859375,1177.9437255859375,2098116,STETH-USD
2022-06-25,1177.947265625,1205.0130615234375,1140.431640625,1200.8028564453125,1200.8028564453125,1597382,STETH-USD
2022-06-26,1200.50146484375,1231.773193359375,1156.9857177734375,1157.1759033203125,1157.1759033203125,1422461,STETH-USD
2022-06-27,1157.0855712890625,1193.692626953125,1138.0391845703125,1150.995849609375,1150.995849609375,1261678,STETH-USD
2022-06-28,1150.974853515625,1186.8216552734375,1094.870361328125,1097.703857421875,1097.703857421875,1256076,STETH-USD
2022-06-29,1097.5926513671875,1108.940185546875,1044.74267578125,1057.350830078125,1057.350830078125,1132487,STETH-USD
2022-06-30,1057.732421875,1062.4937744140625,968.5172729492188,1028.6116943359375,1028.6116943359375,1552586,STETH-USD
2022-07-01,1028.9764404296875,1061.5452880859375,1002.893798828125,1021.7372436523438,1021.7372436523438,1606213,STETH-USD
2022-07-02,1021.7788696289062,1035.000732421875,995.7649536132812,1029.7310791015625,1029.7310791015625,815421,STETH-USD
2022-07-03,1029.6536865234375,1047.9532470703125,1007.6778564453125,1040.700439453125,1040.700439453125,711187,STETH-USD
2022-07-04,1040.6978759765625,1119.9625244140625,1014.6600341796875,1117.432861328125,1117.432861328125,1169934,STETH-USD
2022-07-05,1116.5069580078125,1132.4853515625,1063.93408203125,1099.6480712890625,1099.6480712890625,1614146,STETH-USD
2022-07-06,1099.8653564453125,1166.2608642578125,1080.111572265625,1154.8475341796875,1154.8475341796875,1087663,STETH-USD
2022-07-07,1154.9632568359375,1218.0574951171875,1132.9344482421875,1206.6256103515625,1206.6256103515625,1851857,STETH-USD
2022-07-08,1206.6256103515625,1237.4232177734375,1158.1990966796875,1187.2481689453125,1187.2481689453125,2572813,STETH-USD
2022-07-09,1186.7406005859375,1196.2208251953125,1172.450439453125,1182.884521484375,1182.884521484375,888957,STETH-USD
2022-07-10,1182.8084716796875,1183.3077392578125,1126.12939453125,1135.2864990234375,1135.2864990234375,923946,STETH-USD
2022-07-11,1135.272705078125,1135.272705078125,1063.6937255859375,1065.7841796875,1065.7841796875,1260511,STETH-USD
2022-07-12,1065.8975830078125,1066.8677978515625,997.3735961914062,997.48828125,997.48828125,1379612,STETH-USD
2022-07-13,997.392822265625,1073.3934326171875,979.3497924804688,1073.3934326171875,1073.3934326171875,2947677,STETH-USD
2022-07-14,1073.116943359375,1165.54443359375,1036.2947998046875,1151.8929443359375,1151.8929443359375,1595886,STETH-USD
2022-07-15,1152.0772705078125,1239.1339111328125,1142.663330078125,1194.76806640625,1194.76806640625,2550101,STETH-USD
2022-07-16,1194.8270263671875,1336.887939453125,1158.9859619140625,1316.7406005859375,1316.7406005859375,3833987,STETH-USD
2022-07-17,1316.8856201171875,1340.0882568359375,1293.6375732421875,1306.272705078125,1306.272705078125,4553805,STETH-USD
2022-07-18,1306.2794189453125,1539.231201171875,1306.2794189453125,1539.231201171875,1539.231201171875,8075717,STETH-USD
2022-07-19,1540.243896484375,1569.525634765625,1464.0675048828125,1508.9453125,1508.9453125,4883691,STETH-USD
2022-07-20,1508.944091796875,1580.3941650390625,1466.711669921875,1487.754150390625,1487.754150390625,3218537,STETH-USD
2022-07-21,1488.44189453125,1541.1202392578125,1438.037109375,1523.65576171875,1523.65576171875,2081965,STETH-USD
2022-07-22,1523.65869140625,1573.8365478515625,1485.46435546875,1495.5970458984375,1495.5970458984375,1599982,STETH-USD
2022-07-23,1495.213134765625,1553.74951171875,1464.162841796875,1522.9322509765625,1522.9322509765625,1073612,STETH-USD
2022-07-24,1522.9317626953125,1626.156494140625,1520.1134033203125,1571.5701904296875,1571.5701904296875,1800542,STETH-USD
2022-07-25,1571.56640625,1573.1810302734375,1415.8909912109375,1415.8909912109375,1415.8909912109375,1276582,STETH-USD
2022-07-26,1416.0797119140625,1417.2667236328125,1334.3863525390625,1416.864013671875,1416.864013671875,1662689,STETH-USD
2022-07-27,1417.60888671875,1603.9014892578125,1395.8936767578125,1603.8997802734375,1603.8997802734375,2016553,STETH-USD
