,open,high,low,close,adjclose,volume,ticker
2022-05-01,378.22027587890625,391.0318908691406,376.2605285644531,388.9035339355469,388.9035339355469,680964152,WBNB-USD
2022-05-02,388.9035339355469,392.650634765625,382.32958984375,388.388427734375,388.388427734375,600473263,WBNB-USD
2022-05-03,388.388427734375,392.3109436035156,379.31072998046875,382.5428161621094,382.5428161621094,563862402,WBNB-USD
2022-05-04,382.5428161621094,403.4657897949219,382.09661865234375,400.9917907714844,400.9917907714844,581694562,WBNB-USD
2022-05-05,400.9917907714844,412.2967224121094,372.1329650878906,378.1331481933594,378.1331481933594,660048287,WBNB-USD
2022-05-06,378.1331481933594,382.8289489746094,370.9246520996094,378.782958984375,378.782958984375,613664066,WBNB-USD
2022-05-07,378.7825012207031,380.3644714355469,359.97857666015625,365.2116394042969,365.2116394042969,539300401,WBNB-USD
2022-05-08,365.2116394042969,366.4154968261719,350.5111389160156,354.2394714355469,354.2394714355469,608914831,WBNB-USD
2022-05-09,354.2394714355469,358.8455810546875,300.4806213378906,300.4806213378906,300.4806213378906,1015925032,WBNB-USD
2022-05-10,300.39788818359375,330.8843078613281,289.7381286621094,319.21636962890625,319.21636962890625,1242945601,WBNB-USD
2022-05-11,319.21636962890625,322.2137756347656,261.8406982421875,269.4862060546875,269.4862060546875,1410768978,WBNB-USD
2022-05-12,269.4862060546875,281.6591491699219,218.2646942138672,269.24591064453125,269.24591064453125,1742975628,WBNB-USD
2022-05-13,269.24591064453125,311.64752197265625,265.2853698730469,290.3165283203125,290.3165283203125,1274439576,WBNB-USD
2022-05-14,290.3165283203125,298.5633850097656,272.0541687011719,297.28912353515625,297.28912353515625,810637236,WBNB-USD
2022-05-15,297.2884826660156,312.0889892578125,286.0839538574219,310.5872802734375,310.5872802734375,664653144,WBNB-USD
2022-05-16,310.5872802734375,312.27203369140625,290.4009704589844,297.01123046875,297.01123046875,626423833,WBNB-USD
2022-05-17,297.0121765136719,310.16094970703125,296.5086669921875,305.9726867675781,305.9726867675781,564693395,WBNB-USD
2022-05-18,305.9726867675781,308.1349792480469,286.8999938964844,286.8999938964844,286.8999938964844,573224587,WBNB-USD
2022-05-19,286.9007263183594,308.1856689453125,286.7506408691406,307.7789306640625,307.7789306640625,595894928,WBNB-USD
2022-05-20,307.7789306640625,314.98419189453125,294.6532287597656,301.51312255859375,301.51312255859375,691396949,WBNB-USD
2022-05-21,301.51312255859375,313.7302551269531,299.11395263671875,311.3528747558594,311.3528747558594,627040530,WBNB-USD
2022-05-22,311.3528747558594,322.46124267578125,310.8767395019531,318.50360107421875,318.50360107421875,481340307,WBNB-USD
2022-05-23,318.50360107421875,335.58099365234375,316.150634765625,316.9100036621094,316.9100036621094,600697480,WBNB-USD
2022-05-24,316.9098205566406,329.4320983886719,312.7230224609375,327.3977966308594,327.3977966308594,703344029,WBNB-USD
2022-05-25,327.3977966308594,336.0952453613281,323.40972900390625,325.6881408691406,325.6881408691406,639316576,WBNB-USD
2022-05-26,325.6881408691406,330.73699951171875,299.0229797363281,306.16363525390625,306.16363525390625,677784670,WBNB-USD
2022-05-27,306.16363525390625,308.271728515625,290.8776550292969,300.0459289550781,300.0459289550781,687837684,WBNB-USD
2022-05-28,301.7083740234375,309.2086486816406,296.7346496582031,308.3822021484375,308.3822021484375,512663754,WBNB-USD
2022-05-29,308.3822021484375,308.3822021484375,298.4504699707031,304.01806640625,304.01806640625,406214769,WBNB-USD
2022-05-30,304.0180969238281,322.88720703125,303.833251953125,321.3040466308594,321.3040466308594,452930674,WBNB-USD
2022-05-31,321.3040466308594,323.949462890625,313.3724060058594,320.8572692871094,320.8572692871094,486388270,WBNB-USD
2022-06-01,320.8572692871094,323.72174072265625,297.8477783203125,300.53326416015625,300.53326416015625,444106114,WBNB-USD
2022-06-02,300.53326416015625,309.23089599609375,298.2156066894531,307.83135986328125,307.83135986328125,363081681,WBNB-USD
2022-06-03,307.83135986328125,310.0336608886719,293.6612548828125,297.8094177246094,297.8094177246094,289566614,WBNB-USD
2022-06-04,297.8094177246094,302.9938049316406,294.7289733886719,300.2242736816406,300.2242736816406,258328816,WBNB-USD
2022-06-05,300.2242736816406,302.0110168457031,294.8145446777344,299.0718994140625,299.0718994140625,278527199,WBNB-USD
2022-06-06,299.0718994140625,311.81988525390625,289.48291015625,294.44158935546875,294.44158935546875,566142562,WBNB-USD
2022-06-07,294.4414367675781,295.7456970214844,273.9978942871094,290.52130126953125,290.52130126953125,594947805,WBNB-USD
2022-06-08,290.52130126953125,293.7848205566406,284.7295227050781,288.48388671875,288.48388671875,436950619,WBNB-USD
2022-06-09,288.4850769042969,293.0166015625,286.2694091796875,289.4620666503906,289.4620666503906,328367160,WBNB-USD
2022-06-10,289.4620666503906,296.61572265625,282.8550720214844,285.77606201171875,285.77606201171875,339121193,WBNB-USD
2022-06-11,285.77606201171875,290.4504699707031,265.5390625,268.6136779785156,268.6136779785156,371029993,WBNB-USD
2022-06-12,268.61370849609375,271.53912353515625,251.16676330566406,256.13336181640625,256.13336181640625,411365112,WBNB-USD
2022-06-13,256.13336181640625,256.6859436035156,215.97097778320312,221.1720428466797,221.1720428466797,683527175,WBNB-USD
2022-06-14,221.1720428466797,230.42408752441406,204.199462890625,223.42269897460938,223.42269897460938,763108972,WBNB-USD
2022-06-15,223.42269897460938,233.4468994140625,198.84193420410156,232.17529296875,232.17529296875,690303798,WBNB-USD
2022-06-16,232.17529296875,236.54180908203125,207.54310607910156,208.68788146972656,208.68788146972656,779096534,WBNB-USD
2022-06-17,208.6866455078125,221.3898468017578,208.31968688964844,215.56906127929688,215.56906127929688,366473805,WBNB-USD
2022-06-18,215.56906127929688,218.94500732421875,183.92279052734375,196.74493408203125,196.74493408203125,380706646,WBNB-USD
2022-06-19,196.74493408203125,216.24794006347656,189.6132354736328,214.2676544189453,214.2676544189453,408395296,WBNB-USD
2022-06-20,214.2676544189453,218.083251953125,204.8057861328125,217.13478088378906,217.13478088378906,337647727,WBNB-USD
2022-06-21,217.13478088378906,227.39755249023438,213.20924377441406,218.93896484375,218.93896484375,333143671,WBNB-USD
2022-06-22,218.93896484375,220.26930236816406,211.5291748046875,214.61453247070312,214.61453247070312,337985928,WBNB-USD
2022-06-23,214.61453247070312,229.740478515625,213.9381561279297,229.1997833251953,229.1997833251953,334462391,WBNB-USD
2022-06-24,229.1997833251953,242.62271118164062,228.25717163085938,241.24139404296875,241.24139404296875,319786600,WBNB-USD
2022-06-25,241.24139404296875,241.6000518798828,229.77316284179688,238.54104614257812,238.54104614257812,287548398,WBNB-USD
2022-06-26,238.54104614257812,244.4564666748047,233.40945434570312,233.8934326171875,233.8934326171875,249317714,WBNB-USD
2022-06-27,233.8934326171875,240.97425842285156,230.19955444335938,233.51535034179688,233.51535034179688,255667384,WBNB-USD
2022-06-28,233.51535034179688,240.90367126464844,226.00770568847656,226.9878692626953,226.9878692626953,286087612,WBNB-USD
2022-06-29,226.9878692626953,229.438232421875,215.85281372070312,219.0108642578125,219.0108642578125,328287207,WBNB-USD
2022-06-30,219.0108642578125,219.93731689453125,205.8603973388672,218.1188507080078,218.1188507080078,339315646,WBNB-USD
2022-07-01,218.1188507080078,226.40695190429688,213.49391174316406,216.4957275390625,216.4957275390625,314795644,WBNB-USD
2022-07-02,216.4957275390625,219.46612548828125,213.65121459960938,218.11354064941406,218.11354064941406,239630652,WBNB-USD
2022-07-03,218.11354064941406,219.98924255371094,214.13882446289062,218.4195556640625,218.4195556640625,193842129,WBNB-USD
2022-07-04,218.4195556640625,231.37057495117188,214.8427734375,230.71368408203125,230.71368408203125,220087741,WBNB-USD
2022-07-05,230.71368408203125,236.21343994140625,223.36026000976562,230.6298065185547,230.6298065185547,182689292,WBNB-USD
2022-07-06,230.5710906982422,239.7630615234375,228.9471435546875,238.8099365234375,238.8099365234375,240459876,WBNB-USD
2022-07-07,238.8099365234375,243.55589294433594,235.3019256591797,240.85177612304688,240.85177612304688,220655730,WBNB-USD
2022-07-08,240.85177612304688,247.0778045654297,236.85752868652344,242.7270050048828,242.7270050048828,242357041,WBNB-USD
2022-07-09,242.7270050048828,244.81309509277344,240.00144958496094,242.4108428955078,242.4108428955078,193428980,WBNB-USD
2022-07-10,242.4108428955078,243.6173858642578,231.66026306152344,234.2657012939453,234.2657012939453,160986651,WBNB-USD
2022-07-11,234.2657012939453,234.81443786621094,225.091796875,225.51612854003906,225.51612854003906,191625770,WBNB-USD
2022-07-12,225.51612854003906,228.21270751953125,220.58717346191406,220.58717346191406,220.58717346191406,202001590,WBNB-USD
2022-07-13,220.58717346191406,230.6218719482422,216.2322998046875,230.6218719482422,230.6218719482422,236606117,WBNB-USD
2022-07-14,230.62184143066406,239.75732421875,227.02716064453125,237.406494140625,237.406494140625,252276502,WBNB-USD
2022-07-15,237.406494140625,242.14456176757812,234.9014434814453,237.91944885253906,237.91944885253906,234890648,WBNB-USD
2022-07-16,237.91944885253906,250.672119140625,233.95750427246094,249.25352478027344,249.25352478027344,230127205,WBNB-USD
2022-07-17,249.25352478027344,255.4542694091797,246.30116271972656,247.68833923339844,247.68833923339844,229623026,WBNB-USD
2022-07-18,247.68833923339844,263.9520263671875,247.68824768066406,263.087890625,263.087890625,271451036,WBNB-USD
2022-07-19,263.087890625,274.74072265625,256.0368347167969,268.3714599609375,268.3714599609375,323813729,WBNB-USD
2022-07-20,268.3714599609375,271.6833801269531,256.7423095703125,259.1366882324219,259.1366882324219,323836488,WBNB-USD
2022-07-21,259.1366882324219,265.5458984375,250.80592346191406,265.5458984375,265.5458984375,191997162,WBNB-USD
2022-07-22,265.7504577636719,271.2720642089844,261.2149658203125,262.3993225097656,262.3993225097656,241024365,WBNB-USD
2022-07-23,262.3993225097656,271.8315734863281,252.7375946044922,259.6314392089844,259.6314392089844,228152431,WBNB-USD
2022-07-24,259.6314392089844,266.14581298828125,257.26739501953125,262.54449462890625,262.54449462890625,206993776,WBNB-USD
2022-07-25,262.54449462890625,262.6212158203125,244.84117126464844,244.84259033203125,244.84259033203125,244438185,WBNB-USD
2022-07-26,244.84092712402344,249.0172576904297,239.6035919189453,249.0172576904297,249.0172576904297,274235283,WBNB-USD
2022-07-27,249.0172576904297,270.63653564453125,247.36427307128906,270.63653564453125,270.63653564453125,299878789,WBNB-USD
2022-07-28,270.63653564453125,279.7293701171875,263.8793640136719,277.1120300292969,277.1120300292969,304629917,WBNB-USD
2022-07-29,277.1120300292969,301.30078125,274.5265808105469,293.74853515625,293.74853515625,378604690,WBNB-USD
2022-07-30,293.74853515625,299.2022705078125,285.26806640625,286.2453918457031,286.2453918457031,368117222,WBNB-USD
2022-07-31,286.2453918457031,296.3100891113281,282.13311767578125,283.6451110839844,283.6451110839844,328669815,WBNB-USD
2022-08-01,283.6451110839844,289.61480712890625,277.748046875,284.0184631347656,284.0184631347656,312240135,WBNB-USD
2022-08-02,284.0184631347656,290.5083312988281,274.4744567871094,284.1346130371094,284.1346130371094,159718435,WBNB-USD
2022-08-03,284.1336364746094,305.25,279.1124572753906,297.8270568847656,297.8270568847656,148595378,WBNB-USD
2022-08-04,297.7970886230469,312.4249267578125,297.6129455566406,310.9435729980469,310.9435729980469,172007973,WBNB-USD
2022-08-05,311.0390930175781,320.58203125,308.9766540527344,315.1029052734375,315.1029052734375,175417978,WBNB-USD
2022-08-06,315.3611145019531,321.8388366699219,313.38372802734375,315.248046875,315.248046875,130107726,WBNB-USD
2022-08-07,315.2615661621094,324.8406677246094,309.287841796875,323.059326171875,323.059326171875,127649120,WBNB-USD
2022-08-08,323.081298828125,332.9327087402344,322.6352844238281,324.7972106933594,324.7972106933594,170460732,WBNB-USD
2022-08-09,324.9060363769531,327.3327331542969,313.0655822753906,325.2106628417969,325.2106628417969,174681359,WBNB-USD
2022-08-10,325.1318359375,335.8804626464844,314.43670654296875,328.1252136230469,328.1252136230469,192207423,WBNB-USD
2022-08-11,328.1209411621094,334.13287353515625,322.80902099609375,323.4212951660156,323.4212951660156,190650655,WBNB-USD
2022-08-12,323.4220275878906,326.94439697265625,318.3923645019531,326.94439697265625,326.94439697265625,141609580,WBNB-USD
2022-08-13,327.03204345703125,331.9952087402344,323.75030517578125,324.04998779296875,324.04998779296875,135272253,WBNB-USD
2022-08-14,324.0599060058594,330.26116943359375,316.6159973144531,317.7305603027344,317.7305603027344,135441434,WBNB-USD
2022-08-15,317.76812744140625,326.4174499511719,314.73138427734375,319.4675598144531,319.4675598144531,135389474,WBNB-USD
2022-08-16,319.46417236328125,321.54327392578125,312.9654235839844,316.1047058105469,316.1047058105469,118771657,WBNB-USD
2022-08-17,316.1002502441406,322.98431396484375,305.0938720703125,306.29644775390625,306.29644775390625,146194562,WBNB-USD
2022-08-18,306.3237609863281,309.734375,296.77716064453125,298.49468994140625,298.49468994140625,131957623,WBNB-USD
2022-08-19,298.43768310546875,298.43768310546875,278.5823974609375,279.0871276855469,279.0871276855469,182388373,WBNB-USD
2022-08-20,279.09417724609375,288.51580810546875,278.0561218261719,283.1802062988281,283.1802062988281,128298590,WBNB-USD
2022-08-21,283.1799011230469,303.23193359375,283.1742858886719,302.0580749511719,302.0580749511719,142542215,WBNB-USD
2022-08-22,302.04150390625,303.8072204589844,289.5267028808594,300.3207702636719,300.3207702636719,151803432,WBNB-USD
