,open,high,low,close,adjclose,volume,ticker
2022-05-01,37658.80078125,38566.98046875,37530.78125,38467.0,38467.0,265384121,WBTC-USD
2022-05-02,38451.1796875,39023.11328125,38174.51953125,38607.609375,38607.609375,375967763,WBTC-USD
2022-05-03,38600.19140625,38610.96875,37576.55859375,37769.41796875,37769.41796875,235412351,WBTC-USD
2022-05-04,37772.296875,39959.6875,37741.24609375,39757.71484375,39757.71484375,299262005,WBTC-USD
2022-05-05,39755.19140625,39781.6484375,36008.6875,36523.578125,36523.578125,361469413,WBTC-USD
2022-05-06,36523.53515625,36566.25390625,35505.15234375,36053.52734375,36053.52734375,300381450,WBTC-USD
2022-05-07,36057.78515625,36111.47265625,34936.67578125,35479.14453125,35479.14453125,194293279,WBTC-USD
2022-05-08,35472.1015625,35479.75,33919.375,34066.4453125,34066.4453125,354092127,WBTC-USD
2022-05-09,34052.5625,34167.17578125,30400.67578125,30400.67578125,30400.67578125,658215463,WBTC-USD
2022-05-10,30384.060546875,32528.97265625,29945.8671875,31029.583984375,31029.583984375,488486316,WBTC-USD
2022-05-11,31030.73046875,31930.599609375,28066.87890625,28874.72265625,28874.72265625,948156535,WBTC-USD
2022-05-12,28870.7265625,29930.93359375,25985.40234375,29059.271484375,29059.271484375,1093503822,WBTC-USD
2022-05-13,29047.125,30929.6484375,28793.8828125,29260.9140625,29260.9140625,508152223,WBTC-USD
2022-05-14,29269.28515625,30143.771484375,28667.814453125,30101.37109375,30101.37109375,298842727,WBTC-USD
2022-05-15,30115.30078125,31262.689453125,29541.95703125,31259.185546875,31259.185546875,285212541,WBTC-USD
2022-05-16,31260.0234375,31262.291015625,29279.3203125,29846.640625,29846.640625,479440058,WBTC-USD
2022-05-17,29840.0625,30690.177734375,29558.689453125,30468.70703125,30468.70703125,298928208,WBTC-USD
2022-05-18,30465.703125,30608.119140625,28665.6796875,28665.6796875,28665.6796875,243541090,WBTC-USD
2022-05-19,28660.451171875,30389.982421875,28625.849609375,30293.142578125,30293.142578125,396313923,WBTC-USD
2022-05-20,30293.720703125,30579.498046875,28836.8125,29207.837890625,29207.837890625,265271124,WBTC-USD
