,open,high,low,close,adjclose,volume,ticker
2022-07-01,1823.2149658203125,1889.3751220703125,1810.11572265625,1842.16748046875,1842.16748046875,6045511,XAUT-USD
2022-07-02,1841.1082763671875,1861.5106201171875,1814.3372802734375,1817.0692138671875,1817.0692138671875,633285,XAUT-USD
2022-07-03,1817.12060546875,1821.11474609375,1812.76416015625,1813.9593505859375,1813.9593505859375,125948,XAUT-USD
2022-07-04,1814.0858154296875,1824.420166015625,1810.4100341796875,1815.56396484375,1815.56396484375,1183958,XAUT-USD
2022-07-05,1817.750244140625,1824.9080810546875,1798.88916015625,1799.939697265625,1799.939697265625,4865801,XAUT-USD
2022-07-06,1800.9432373046875,1805.67041015625,1771.6168212890625,1774.8685302734375,1774.8685302734375,9995102,XAUT-USD
2022-07-07,1772.1683349609375,1789.198486328125,1742.3687744140625,1744.4910888671875,1744.4910888671875,3606517,XAUT-USD
2022-07-08,1745.6097412109375,1752.789306640625,1738.518310546875,1744.0953369140625,1744.0953369140625,399779,XAUT-USD
2022-07-09,1745.66796875,1747.712646484375,1742.41357421875,1745.2415771484375,1745.2415771484375,156168,XAUT-USD
2022-07-10,1744.8792724609375,1748.557861328125,1741.901123046875,1747.65673828125,1747.65673828125,232624,XAUT-USD
2022-07-11,1747.641845703125,1749.3056640625,1730.6904296875,1733.02783203125,1733.02783203125,979939,XAUT-USD
2022-07-12,1732.8814697265625,1741.74560546875,1724.8408203125,1729.77197265625,1729.77197265625,1117469,XAUT-USD
2022-07-13,1732.2176513671875,1747.1795654296875,1715.9000244140625,1739.2215576171875,1739.2215576171875,536277,XAUT-USD
2022-07-14,1737.8154296875,1739.74365234375,1711.643798828125,1717.482666015625,1717.482666015625,575297,XAUT-USD
2022-07-15,1718.2625732421875,1726.44580078125,1708.4508056640625,1717.9229736328125,1717.9229736328125,171165,XAUT-USD
2022-07-16,1713.9134521484375,1740.7679443359375,1708.58056640625,1725.6805419921875,1725.6805419921875,739337,XAUT-USD
2022-07-17,1726.3197021484375,1730.614501953125,1707.3143310546875,1716.431884765625,1716.431884765625,169429,XAUT-USD
2022-07-18,1717.214599609375,1741.270751953125,1713.5565185546875,1717.7998046875,1717.7998046875,183430,XAUT-USD
2022-07-19,1724.27099609375,1746.145751953125,1711.8624267578125,1717.2154541015625,1717.2154541015625,1408291,XAUT-USD
2022-07-20,1717.5931396484375,1725.706298828125,1694.4320068359375,1695.3026123046875,1695.3026123046875,1094216,XAUT-USD
2022-07-21,1695.191162109375,1721.203369140625,1681.94140625,1720.1707763671875,1720.1707763671875,913479,XAUT-USD
2022-07-22,1719.6949462890625,1734.6673583984375,1714.481689453125,1723.7794189453125,1723.7794189453125,882451,XAUT-USD
2022-07-23,1724.4820556640625,1740.6153564453125,1708.59130859375,1728.0009765625,1728.0009765625,717004,XAUT-USD
2022-07-24,1728.1025390625,1732.3009033203125,1724.3341064453125,1727.784912109375,1727.784912109375,182424,XAUT-USD
2022-07-25,1727.2548828125,1733.2376708984375,1716.244384765625,1717.685791015625,1717.685791015625,208458,XAUT-USD
2022-07-26,1717.3692626953125,1726.9088134765625,1714.652099609375,1721.043701171875,1721.043701171875,113870,XAUT-USD
2022-07-27,1719.56103515625,1739.42333984375,1715.4384765625,1738.043701171875,1738.043701171875,496343,XAUT-USD
2022-07-28,1736.2315673828125,1756.55029296875,1730.25927734375,1745.4022216796875,1745.4022216796875,489074,XAUT-USD
2022-07-29,1745.593505859375,1759.059814453125,1744.25048828125,1756.9417724609375,1756.9417724609375,304168,XAUT-USD
2022-07-30,1756.52294921875,1764.591552734375,1753.852294921875,1763.2939453125,1763.2939453125,331953,XAUT-USD
2022-07-31,1761.8218994140625,1764.337890625,1752.5889892578125,1753.7659912109375,1753.7659912109375,363565,XAUT-USD
2022-08-01,1753.6971435546875,1765.3905029296875,1748.6339111328125,1764.6639404296875,1764.6639404296875,368183,XAUT-USD
2022-08-02,1764.41015625,1778.3651123046875,1748.833740234375,1749.7601318359375,1749.7601318359375,534491,XAUT-USD
2022-08-03,1749.4002685546875,1766.6285400390625,1744.7000732421875,1756.35205078125,1756.35205078125,226277,XAUT-USD
2022-08-04,1754.8072509765625,1783.5137939453125,1752.65771484375,1781.4354248046875,1781.4354248046875,336093,XAUT-USD
2022-08-05,1781.4295654296875,1783.4617919921875,1760.75634765625,1766.1961669921875,1766.1961669921875,152494,XAUT-USD
2022-08-06,1766.9052734375,1768.558837890625,1760.083984375,1767.505859375,1767.505859375,115019,XAUT-USD
2022-08-07,1767.6265869140625,1771.75439453125,1759.990478515625,1769.5533447265625,1769.5533447265625,136228,XAUT-USD
2022-08-08,1769.3155517578125,1782.1474609375,1763.443359375,1781.4822998046875,1781.4822998046875,86536,XAUT-USD
2022-08-09,1780.808349609375,1788.899658203125,1773.28955078125,1787.4305419921875,1787.4305419921875,102813,XAUT-USD
2022-08-10,1787.58935546875,1794.8719482421875,1780.6243896484375,1788.6568603515625,1788.6568603515625,217878,XAUT-USD
2022-08-11,1788.447265625,1793.0517578125,1774.1883544921875,1783.1168212890625,1783.1168212890625,228844,XAUT-USD
2022-08-12,1782.451904296875,1792.5941162109375,1773.7855224609375,1786.9322509765625,1786.9322509765625,195166,XAUT-USD
2022-08-13,1791.7850341796875,1795.3814697265625,1783.68994140625,1790.7926025390625,1790.7926025390625,387574,XAUT-USD
2022-08-14,1788.99267578125,1794.15380859375,1786.6146240234375,1792.6290283203125,1792.6290283203125,239325,XAUT-USD
2022-08-15,1792.8614501953125,1795.25,1762.4664306640625,1775.0908203125,1775.0908203125,251352,XAUT-USD
2022-08-16,1775.2177734375,1779.3734130859375,1763.762939453125,1770.2608642578125,1770.2608642578125,121041,XAUT-USD
2022-08-17,1770.0679931640625,1776.0509033203125,1758.6373291015625,1760.3663330078125,1760.3663330078125,180185,XAUT-USD
2022-08-18,1761.777099609375,1766.1455078125,1747.5390625,1750.9920654296875,1750.9920654296875,163592,XAUT-USD
2022-08-19,1752.291259765625,1752.291259765625,1735.1142578125,1741.4720458984375,1741.4720458984375,716914,XAUT-USD
2022-08-20,1742.2650146484375,1745.609619140625,1734.3031005859375,1741.934326171875,1741.934326171875,123312,XAUT-USD
2022-08-21,1741.3306884765625,1742.8189697265625,1734.69287109375,1740.7237548828125,1740.7237548828125,167997,XAUT-USD
2022-08-22,1740.5361328125,1742.2467041015625,1725.021240234375,1730.6351318359375,1730.6351318359375,604589,XAUT-USD
2022-08-23,1730.3585205078125,1743.0040283203125,1726.237548828125,1740.61669921875,1740.61669921875,134282,XAUT-USD
2022-08-24,1740.138671875,1745.996826171875,1734.8599853515625,1745.51416015625,1745.51416015625,239478,XAUT-USD
2022-08-25,1745.5343017578125,1754.32177734375,1743.018798828125,1750.734375,1750.734375,501357,XAUT-USD
2022-08-26,1750.8153076171875,1751.0177001953125,1725.5504150390625,1731.477294921875,1731.477294921875,200070,XAUT-USD
