,open,high,low,close,adjclose,volume,ticker
2022-05-01,214.69122314453125,227.3307342529297,209.01046752929688,212.6691131591797,212.6691131591797,211597053,XMR-USD
2022-05-02,212.63681030273438,216.08242797851562,196.67608642578125,198.6671600341797,198.6671600341797,234496868,XMR-USD
2022-05-03,198.68417358398438,215.34193420410156,198.68417358398438,207.54103088378906,207.54103088378906,212084119,XMR-USD
2022-05-04,207.4825439453125,225.1816864013672,206.698974609375,225.1816864013672,225.1816864013672,218881517,XMR-USD
2022-05-05,225.16033935546875,229.32327270507812,198.62278747558594,206.62237548828125,206.62237548828125,228652275,XMR-USD
2022-05-06,206.63633728027344,217.41587829589844,201.16653442382812,217.0057373046875,217.0057373046875,204120727,XMR-USD
2022-05-07,217.25460815429688,222.90977478027344,199.94142150878906,204.20375061035156,204.20375061035156,215690316,XMR-USD
2022-05-08,204.27317810058594,221.6311492919922,200.3682403564453,217.23892211914062,217.23892211914062,278903350,XMR-USD
2022-05-09,217.2151336669922,220.55691528320312,175.35142517089844,175.35142517089844,175.35142517089844,275353337,XMR-USD
2022-05-10,174.9940948486328,189.1067657470703,152.97283935546875,162.95692443847656,162.95692443847656,300591532,XMR-USD
2022-05-11,162.9056396484375,171.27023315429688,138.4639892578125,138.74615478515625,138.74615478515625,330581689,XMR-USD
2022-05-12,139.0519561767578,154.58920288085938,119.30345916748047,137.88595581054688,137.88595581054688,316908184,XMR-USD
2022-05-13,137.77655029296875,154.98760986328125,135.45516967773438,143.945068359375,143.945068359375,179098418,XMR-USD
2022-05-14,143.96267700195312,154.59707641601562,136.68280029296875,154.3705291748047,154.3705291748047,158306034,XMR-USD
2022-05-15,154.1266326904297,172.48629760742188,151.0707244873047,171.67938232421875,171.67938232421875,190261455,XMR-USD
2022-05-16,171.67034912109375,174.61563110351562,160.24351501464844,162.2259979248047,162.2259979248047,187969094,XMR-USD
2022-05-17,162.2588348388672,177.20187377929688,162.2161102294922,172.86834716796875,172.86834716796875,172030064,XMR-USD
2022-05-18,172.85475158691406,175.4417724609375,155.2621307373047,155.32757568359375,155.32757568359375,154490275,XMR-USD
2022-05-19,155.31784057617188,169.359375,151.35145568847656,165.81942749023438,165.81942749023438,152392514,XMR-USD
2022-05-20,165.8057403564453,180.9513397216797,163.57041931152344,174.2225341796875,174.2225341796875,234021413,XMR-USD
2022-05-21,174.13002014160156,180.60716247558594,170.5978240966797,175.99365234375,175.99365234375,146462498,XMR-USD
2022-05-22,175.9517059326172,187.82115173339844,172.680419921875,187.16049194335938,187.16049194335938,128816310,XMR-USD
2022-05-23,187.13232421875,199.35560607910156,182.29678344726562,185.18231201171875,185.18231201171875,269858942,XMR-USD
2022-05-24,185.14198303222656,196.02841186523438,183.75904846191406,193.09315490722656,193.09315490722656,202501485,XMR-USD
2022-05-25,193.076171875,204.68763732910156,191.70680236816406,203.91543579101562,203.91543579101562,233415550,XMR-USD
2022-05-26,203.9818115234375,205.31285095214844,186.71273803710938,189.53762817382812,189.53762817382812,221102783,XMR-USD
2022-05-27,189.39430236816406,190.3993377685547,176.364013671875,180.3487091064453,180.3487091064453,192810405,XMR-USD
2022-05-28,180.6417236328125,183.9105682373047,174.62673950195312,175.68643188476562,175.68643188476562,123133749,XMR-USD
2022-05-29,175.72329711914062,188.052734375,168.16348266601562,186.0727081298828,186.0727081298828,140346374,XMR-USD
2022-05-30,186.03318786621094,208.47084045410156,183.2271728515625,204.209228515625,204.209228515625,243363621,XMR-USD
2022-05-31,204.1863250732422,207.546142578125,192.0736083984375,198.53982543945312,198.53982543945312,247436888,XMR-USD
2022-06-01,198.4937744140625,202.98464965820312,193.2449493408203,198.6234130859375,198.6234130859375,219916192,XMR-USD
2022-06-02,198.61111450195312,203.55523681640625,192.58909606933594,201.39535522460938,201.39535522460938,173374488,XMR-USD
2022-06-03,201.40769958496094,202.55648803710938,187.72024536132812,193.97532653808594,193.97532653808594,148020353,XMR-USD
2022-06-04,193.97093200683594,195.44854736328125,188.7423095703125,189.13232421875,189.13232421875,113008467,XMR-USD
2022-06-05,189.13134765625,191.64697265625,186.07473754882812,187.98410034179688,187.98410034179688,110884734,XMR-USD
2022-06-06,188.0193634033203,195.08119201660156,187.85009765625,189.51211547851562,189.51211547851562,125922144,XMR-USD
2022-06-07,189.51116943359375,195.05868530273438,180.1653594970703,187.5677032470703,187.5677032470703,131781619,XMR-USD
2022-06-08,187.51809692382812,189.46829223632812,182.34483337402344,186.44154357910156,186.44154357910156,106713695,XMR-USD
2022-06-09,186.4095458984375,189.50340270996094,182.48818969726562,185.37985229492188,185.37985229492188,91177653,XMR-USD
2022-06-10,185.3684539794922,186.08836364746094,172.91720581054688,173.87631225585938,173.87631225585938,152125139,XMR-USD
2022-06-11,173.87750244140625,177.86181640625,161.2478485107422,166.0951385498047,166.0951385498047,122297730,XMR-USD
2022-06-12,166.16363525390625,166.7679901123047,152.6374053955078,159.0411376953125,159.0411376953125,143153711,XMR-USD
2022-06-13,158.80311584472656,159.14212036132812,129.2508087158203,132.093994140625,132.093994140625,196432477,XMR-USD
2022-06-14,132.11070251464844,133.81163024902344,116.55695343017578,119.28409576416016,119.28409576416016,192462966,XMR-USD
2022-06-15,119.10826110839844,119.1222152709961,104.41594696044922,118.00106048583984,118.00106048583984,194933079,XMR-USD
2022-06-16,118.0592041015625,120.79164123535156,104.6307144165039,106.4407730102539,106.4407730102539,108453661,XMR-USD
2022-06-17,106.47528076171875,116.15589141845703,106.17494201660156,114.3115005493164,114.3115005493164,105637682,XMR-USD
2022-06-18,114.3101577758789,115.36248016357422,97.23336791992188,104.18310546875,104.18310546875,119829720,XMR-USD
2022-06-19,104.1468505859375,114.92887115478516,100.24734497070312,114.21699523925781,114.21699523925781,101230757,XMR-USD
2022-06-20,114.20144653320312,117.62457275390625,108.78446960449219,117.29762268066406,117.29762268066406,91092102,XMR-USD
2022-06-21,117.47624206542969,124.92267608642578,115.88713836669922,118.79727172851562,118.79727172851562,96177268,XMR-USD
2022-06-22,118.84225463867188,118.8779296875,111.17500305175781,111.17500305175781,111.17500305175781,70776491,XMR-USD
2022-06-23,111.16264343261719,122.71647644042969,110.99208068847656,122.6963882446289,122.6963882446289,65743632,XMR-USD
2022-06-24,122.66165161132812,128.66793823242188,122.59384155273438,126.46509552001953,126.46509552001953,77979509,XMR-USD
2022-06-25,126.48320007324219,127.9722671508789,121.1275634765625,127.48186492919922,127.48186492919922,63867278,XMR-USD
2022-06-26,127.42731475830078,133.7880096435547,125.3242416381836,125.3242416381836,125.3242416381836,73740343,XMR-USD
2022-06-27,125.31454467773438,130.496337890625,120.37760162353516,120.39095306396484,120.39095306396484,82580078,XMR-USD
2022-06-28,120.39106750488281,122.97918701171875,116.07154846191406,117.50824737548828,117.50824737548828,74168794,XMR-USD
2022-06-29,117.5113525390625,124.53569793701172,117.09895324707031,118.69425964355469,118.69425964355469,89781176,XMR-USD
2022-06-30,118.72045135498047,119.45452117919922,108.30669403076172,112.76263427734375,112.76263427734375,78156771,XMR-USD
2022-07-01,112.91856384277344,116.70523834228516,111.11787414550781,115.03934478759766,115.03934478759766,73585317,XMR-USD
